"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"Gene.ID";"Gene.Names"
"ENSG00000134215";1811,60584262223;-1,69254510446789;0,159135570455587;-10,6358691499477;2,02927769707177e-26;1,1598958553037e-23;"ENSG00000134215";"VAV3"
"ENSG00000167173";245,288757776035;-1,77814412242993;0,198363760764078;-8,96405732367995;3,12946182925716e-19;1,04624404061524e-16;"ENSG00000167173";"C15orf39"
"ENSG00000172059";600,69244270047;-1,36135485814722;0,161847818035816;-8,41132660710912;4,05399138785087e-17;1,17758480985786e-14;"ENSG00000172059";"KLF11"
"ENSG00000175906";409,530490599943;-1,47769741071684;0,176593039895905;-8,36781229649757;5,86977965816552e-17;1,62510352754742e-14;"ENSG00000175906";"ARL4D"
"ENSG00000114737";96,7353655682772;-2,68268010932364;0,324916668207036;-8,2565173529794;1,49984431530557e-16;3,85155672795644e-14;"ENSG00000114737";"CISH"
"ENSG00000147642";761,915744988939;-1,40861685994402;0,180414952367268;-7,80765031645777;5,82639682515374e-15;1,29047406681124e-12;"ENSG00000147642";"SYBU"
"ENSG00000163545";534,948833777053;-1,41307546174575;0,181246958328925;-7,79640924611446;6,36935916457908e-15;1,39331697576761e-12;"ENSG00000163545";"NUAK2"
"ENSG00000179023";741,088041963417;-1,0920028176462;0,146983560430281;-7,42942145672253;1,09073691351413e-13;2,17154689556818e-11;"ENSG00000179023";"KLHDC7A"
