"ERR4507911";"ERR4507912";"ERR4507913";"ERR4507914";"ERR4507915";"ERR4507916"
1402;472;1508;783;640;2049
1037;494;1101;1111;581;2118
9867;4045;10467;8378;4329;16251
19836;7765;21754;15540;10498;44457
29422;15848;31162;23494;15452;58239
3706;1912;3962;2772;1829;7339
1237;561;1262;1208;611;2776
2741;1481;3157;2338;1626;5959
0;0;0;0;0;0
51;22;24;35;31;93
6;7;4;2;0;1
625;314;672;690;354;1411
3;0;2;4;2;9
627;363;858;540;415;1364
3170;1403;3264;2382;1479;5601
23;12;25;19;12;51
3506;1980;3820;3360;2024;7528
1798;1048;2005;1946;984;3745
11;18;45;70;18;54
815;363;747;579;383;1413
694;254;783;679;426;1630
267;114;312;233;122;577
6315;3523;6689;5757;3491;12152
5989;2723;7418;5253;3446;14276
920;318;1093;638;481;1889
3624;1681;4434;2637;1973;8946
0;0;0;0;0;0
3956;1838;4111;3286;2510;8667
8;8;11;4;0;11
22;5;26;28;11;41
50;38;61;69;68;172
16;10;27;23;20;54
1228;705;1478;1247;749;2303
1;0;6;0;0;0
30;16;32;29;18;72
8;5;12;2;1;11
269;166;320;184;140;555
21;8;15;11;6;52
1065;444;1170;852;504;1943
10;0;6;3;1;4
133;46;143;147;93;329
2;2;0;3;0;4
650;193;576;531;292;1152
670;407;691;743;421;1585
666;469;688;731;309;1513
2173;1153;1972;1480;891;3211
6;0;5;12;9;17
2536;1380;2883;2017;1210;4865
1545;781;1917;1212;905;3862
743;393;751;710;480;1322
4528;2666;5678;3876;2334;9466
20;22;38;31;13;75
0;0;0;0;0;0
548;231;713;564;394;1424
1757;908;1805;1401;910;3486
370;216;504;389;221;1031
560;260;650;552;370;1192
1032;411;1041;710;424;1631
32;15;17;22;11;46
1266;722;1274;1122;756;2857
789;241;837;773;528;1847
2840;1225;3300;2694;1550;6399
1399;787;1545;1680;863;3220
1140;514;1175;1075;554;2219
9068;4957;10241;6784;4801;17788
136;89;141;126;78;265
42;38;39;20;18;66
1054;518;1244;896;689;2574
5781;2823;6092;4780;2802;10137
604;291;655;254;157;563
6265;3652;6599;4212;3442;12824
461;310;656;561;307;1079
2700;1477;2942;2836;1534;6079
2;0;3;0;0;19
359;190;373;323;204;859
2356;1092;2961;1964;1280;5410
861;457;1094;970;600;2321
4494;2399;4737;4839;2246;9122
15;12;20;11;8;16
