"ERR4507911";"ERR4507912";"ERR4507913";"ERR4507914";"ERR4507915";"ERR4507916"
47;22;81;14;10;59
78;56;129;82;78;215
576;271;686;492;322;1131
1022;445;1100;1114;577;2326
1441;666;1497;1097;695;2683
1700;564;1643;1315;767;2776
18;4;8;15;7;10
592;326;645;83;16;113
2784;1803;2999;2227;1482;5298
289;151;317;132;83;353
441;217;499;460;183;814
0;0;0;0;0;0
5878;2519;6128;3568;1500;5472
891;407;910;721;365;1505
1768;915;1954;1860;964;4025
285;104;333;271;142;584
1757;700;1765;1434;940;3526
1130;608;1230;937;431;2008
1;0;2;0;0;0
95;30;106;103;49;207
259;131;298;278;123;576
2;1;3;5;3;6
108;58;103;46;47;198
1856;850;1994;1603;915;3601
0;0;0;0;0;0
543;341;628;389;252;1091
7445;3200;7971;5283;3919;14580
2680;1401;2905;2325;1327;5570
974;407;1093;957;492;2078
4556;2109;4865;3764;2175;8166
549;249;611;778;507;1877
1624;632;1602;1470;856;3192
2933;1392;3086;2338;1326;5389
0;0;4;0;0;0
1929;1264;2572;1620;952;3995
2206;1072;2170;1780;911;3699
2128;783;2505;1508;1182;4595
1699;1026;2052;1873;1062;3574
1041;492;1083;912;513;1970
354;161;386;374;165;624
4;2;0;7;0;3
585;225;635;524;370;1435
0;0;0;0;0;1
704;280;830;544;486;1734
12;4;15;12;15;36
2347;958;2363;1781;1207;4837
893;503;884;717;427;1756
0;0;0;0;0;0
1210;636;1246;1046;671;2469
1847;744;1869;1634;906;3712
0;4;4;0;2;17
980;389;1096;741;388;2135
979;553;1021;970;687;1813
4120;2230;5040;4458;2271;9819
3151;1994;3876;2401;1810;7612
0;0;0;0;0;0
1727;941;2060;1385;898;3359
10;8;10;6;4;13
0;0;0;0;0;0
521;212;639;442;256;1113
0;0;0;0;0;0
2;0;4;4;2;0
320;162;312;425;153;605
695;234;651;695;396;1606
1581;860;1606;1292;780;2805
3250;1502;3662;4144;1806;7417
2650;1289;3214;2194;1321;6090
2489;1302;2738;2223;1404;5379
479;244;634;399;256;1036
0;0;0;0;0;1
11221;5024;12602;9566;4880;20509
0;0;0;0;0;0
996;299;955;771;487;1456
2;0;3;1;3;6
369;132;426;440;249;878
2451;933;2812;2389;1372;5746
2944;1780;3466;2589;1569;6381
359;203;421;281;177;857
355;133;380;552;182;728
528;251;550;537;263;1169
478;187;564;387;277;1020
765;533;962;818;470;1966
11;3;17;14;10;28
70;45;48;43;34;110
67;23;46;48;24;114
0;0;0;0;0;0
12;18;17;11;11;29
1018;391;1133;967;680;2419
9;2;13;13;2;18
32;15;27;11;8;50
3685;1809;4268;2172;1404;5958
6498;2654;7129;5723;3510;12215
4;0;0;0;2;3
5;15;9;7;3;20
0;0;0;0;0;0
1942;894;2104;1514;810;3592
5;4;6;4;1;13
821;389;834;1021;567;2108
478;215;541;542;364;1474
43;10;37;1819;41;110
334;172;335;146;80;308
2;0;0;0;0;1
7967;3299;7414;18459;4405;15975
1868;833;2020;1248;1106;4119
48;25;61;31;32;115
0;0;0;0;0;0
454;280;424;1060;410;1168
836;429;971;964;494;1982
4862;2368;4981;4095;2305;9135
53;24;116;35;42;190
0;0;0;0;0;0
3494;1378;3671;2425;1857;7311
1;2;7;2;3;11
3325;1614;3509;3271;1734;6550
12;4;13;11;10;10
0;0;0;0;0;0
3293;1740;3354;3044;1615;6285
20;11;10;13;15;44
1011;464;1091;823;538;2004
2080;1016;2038;1462;816;3182
1084;624;1306;1025;688;3130
159;79;261;222;115;480
3000;1525;3730;2888;1695;7876
2118;1208;2555;1416;1206;4695
1157;615;1232;1052;639;2253
1050;424;993;909;607;1955
250;240;332;190;119;635
0;0;0;0;0;0
4163;2054;4644;3530;1922;7078
2077;840;2231;1936;817;3837
21;0;16;23;12;67
4298;2307;4449;3419;1582;5619
2;0;0;0;0;0
887;431;934;811;442;1515
498;307;613;431;346;1476
31;5;17;25;28;48
4;0;22;10;4;13
573;284;750;510;359;1449
1;0;1;1;2;3
0;0;0;0;4;0
44;20;41;25;21;60
0;0;0;0;0;0
4;5;13;8;4;18
1572;1098;1851;1329;902;4309
15;9;21;23;21;40
0;0;1;0;0;2
3022;2155;3270;2872;1646;6252
1301;671;1383;1133;602;2742
1916;885;2180;1853;1037;3931
1366;554;1433;1118;691;2611
340;161;331;429;267;937
11;7;14;31;19;39
37;20;75;33;36;130
244;112;256;270;139;461
303;149;338;385;268;857
11;2;11;3;5;27
9291;4115;9922;7090;5090;18377
22825;10498;23843;18100;12094;47390
1724;1100;1976;1386;1067;3677
1;0;0;0;0;0
2178;816;2238;2856;1367;5402
0;0;1;0;0;0
227;128;282;190;146;499
0;0;0;0;0;0
16;12;4;9;2;17
3082;1272;3270;2519;1640;6727
3735;2030;3912;3334;1704;7049
5119;2606;4979;3560;2603;9807
13;17;15;17;14;40
238;185;236;244;118;538
702;288;700;618;401;1425
853;583;923;804;429;1760
589;463;713;468;328;1324
5645;2565;6345;5020;2975;11990
1406;716;1634;1313;771;2747
419;218;431;417;197;790
1504;874;1607;1476;958;3157
0;0;0;0;0;0
0;0;0;0;2;0
2108;1063;2136;2514;979;3079
0;0;0;0;0;0
871;395;833;431;341;891
1309;505;1431;973;586;1972
235;100;324;172;112;589
102;54;117;116;74;245
2983;1319;3126;2397;1547;5554
5;1;8;11;5;22
59;45;73;22;20;48
235;153;339;139;117;513
19;7;7;10;8;20
6;0;10;2;11;21
11;9;16;16;10;30
22;11;39;25;29;43
3;3;0;4;2;9
21;10;30;32;13;41
3224;1085;3514;2477;1426;6266
1562;777;1626;885;414;1716
372;182;397;373;195;833
192;105;254;143;121;376
677;290;849;466;369;1491
3357;1346;3596;3606;1696;6696
281;146;269;227;159;573
1252;537;1415;1340;741;2581
8;3;6;5;1;15
3;0;6;9;0;17
1238;794;1357;1541;729;3028
298;183;367;228;136;619
486;193;618;554;271;1211
11;4;13;8;6;11
0;2;4;0;2;7
2185;1089;2800;1825;1034;4497
441;170;443;333;211;830
0;0;0;0;0;0
247;100;299;231;130;604
882;667;1236;1175;381;1561
21;4;17;20;14;30
0;0;0;0;0;0
32;15;10;16;11;23
66;27;51;45;37;117
0;0;0;2;0;2
299;174;344;458;186;888
4528;2295;3765;6236;2196;6419
1;2;0;2;2;0
516;340;614;443;280;1226
2142;951;2501;1670;1150;4819
731;354;655;483;414;1300
1;2;0;0;1;0
2028;1092;2299;1517;1005;4323
3547;1780;3771;4124;1891;7216
453;178;586;432;332;1232
9768;4148;12282;8090;6130;26465
1677;780;1785;1943;926;3393
0;0;0;0;0;2
2;6;8;4;0;17
243;110;246;170;113;371
596;351;749;465;294;1275
6;0;6;5;4;7
0;1;4;0;0;4
166;55;150;225;144;622
5869;2935;6340;5104;2928;10906
1658;620;1715;1360;852;3365
7678;2670;8311;5360;4131;16237
2103;936;2500;1567;983;3754
43;22;26;15;10;28
640;331;771;591;411;1537
734;458;735;489;365;1297
3857;1527;4414;3596;2259;8922
1724;627;2074;1420;952;3872
2536;1210;2758;2175;1347;5254
0;0;0;0;0;6
3321;1554;3647;2666;1748;7256
0;0;0;0;0;0
1389;598;1495;1440;774;2850
598;272;677;531;323;1164
8708;4876;10479;6802;4878;21700
2491;1013;2826;2046;1289;5768
1304;655;1359;1350;729;2822
121;62;91;120;84;241
869;468;899;685;484;1608
29;17;21;21;21;48
364;267;424;247;153;847
2715;1856;3372;1775;1185;5074
733;343;747;717;368;1556
1130;425;888;1606;540;1916
200;128;231;217;184;679
1697;843;1659;1772;977;3601
0;0;0;0;0;0
795;318;918;806;429;1779
817;494;875;847;645;2218
11;3;8;5;8;12
190;68;182;176;126;402
413;137;377;342;196;778
390;173;503;359;178;926
0;2;0;0;0;0
108;40;85;89;60;173
0;0;0;0;0;2
0;0;0;0;0;1
1650;977;1835;1199;826;3423
1;0;0;0;0;0
2;0;0;0;0;2
284;97;322;170;148;592
8;0;2;5;0;3
2293;1163;2635;1932;1229;4904
0;0;0;0;0;0
5207;2202;5579;3990;2517;9378
3635;1762;3729;2867;1716;6645
4;0;4;6;0;18
780;385;761;612;620;1841
0;0;0;0;0;0
22;6;7;17;8;17
3894;1835;4613;2743;1885;7555
254;157;317;313;162;713
2713;1166;3363;2465;1710;6830
0;0;0;0;0;0
0;2;0;2;0;6
2466;1482;2867;1491;896;3894
8437;4349;8209;6722;4069;14489
727;435;783;905;394;1640
979;536;1080;882;559;2004
660;396;789;607;388;1802
3650;1748;4609;3129;2103;8959
0;0;0;0;0;6
2053;1061;2111;1749;1009;4167
912;431;973;737;435;1658
5;2;38;13;7;31
13;2;22;14;10;28
480;250;711;361;208;1070
889;540;1222;891;535;2137
313;268;486;258;171;778
1540;820;1682;1357;798;3268
1605;741;1537;1301;876;3029
5481;2583;6079;4677;2899;12638
1142;585;1248;1228;520;2494
5;2;5;10;2;9
533;217;512;371;283;911
16;2;14;12;4;22
0;0;0;0;0;0
136;77;150;65;67;215
2010;1110;2112;1871;1126;3771
271;130;311;507;186;738
21;11;28;22;6;50
0;2;0;0;0;0
386;260;445;330;203;850
8;1;2;5;4;13
1277;1023;1855;1178;829;3370
568;274;475;542;249;907
517;269;706;556;308;1252
3306;1680;4593;3178;1806;8031
0;0;0;0;0;0
0;0;0;0;0;6
1117;412;1158;753;572;2404
298;142;292;200;124;407
0;0;0;6;2;2
0;0;0;0;0;0
228;106;293;232;180;687
1601;447;1670;1594;918;3003
7040;3072;8042;5658;4017;15777
739;397;683;614;361;1293
1230;553;1395;1198;741;2611
325;135;345;331;240;849
0;0;0;0;0;0
110;46;108;214;96;365
5;2;2;4;1;13
1240;686;1656;1227;701;3231
2;12;10;10;8;27
544;287;682;750;319;1211
21672;15310;27021;17249;13379;64761
1944;1048;2204;1562;1068;4890
1317;666;1485;1133;728;2362
156;65;145;219;102;394
1503;729;1930;1535;922;3885
2328;1273;2672;2017;1225;4744
1254;657;1446;1088;709;2851
433;273;515;510;260;1015
423;190;537;439;245;989
2170;1209;2369;2295;1173;4258
2;0;2;0;0;0
2114;1224;2465;2050;1173;4905
305;140;300;323;188;671
238;113;321;267;131;532
0;0;0;0;0;0
398;221;381;500;271;862
712;250;679;653;337;1235
512;335;603;568;308;1096
1;0;0;3;5;2
0;0;0;0;0;0
974;480;1284;891;652;2536
603;296;656;696;321;1240
689;242;801;822;387;1369
0;0;0;0;0;0
573;291;550;405;317;1218
4;0;0;0;0;0
2144;1119;2425;2449;1089;4535
0;0;0;0;0;0
1070;487;1204;1408;760;3027
967;602;910;1104;778;2763
654;232;649;489;341;1216
0;0;0;0;0;0
1734;1078;2066;1607;1034;4069
2299;1098;2297;1780;1192;4633
14;7;19;22;15;47
25;22;16;30;24;40
1152;570;1664;1225;847;3184
1060;496;1106;1038;548;2225
919;460;1137;658;524;2217
0;0;0;0;0;0
49;54;58;58;26;109
0;2;0;0;0;0
964;621;1136;896;605;2304
33335;12989;34547;24758;17225;62236
4;0;5;1;0;2
570;359;526;514;272;1112
738;282;782;644;451;1764
5819;3370;6243;4918;2985;11149
288;199;291;326;152;559
4339;2067;4793;4275;2189;9154
64;26;56;106;34;122
3617;1749;4247;3082;2398;9258
58;37;48;34;34;133
7040;3569;7929;5855;3809;14397
6927;3164;7760;6578;3709;13829
588;285;588;477;239;1033
6378;3078;8154;4136;3073;12648
67;26;100;77;49;164
0;0;0;0;0;0
4;2;0;1;2;3
0;0;0;0;0;1
856;553;941;682;362;1358
2256;1190;2362;2285;1269;4332
1096;521;1112;934;501;1895
169;73;145;123;95;245
531;251;581;414;225;1000
1359;849;1482;1201;574;2500
1076;596;1250;1086;698;2277
5924;2994;5904;5519;2821;9738
585;359;890;639;558;2884
326;162;368;322;188;729
0;0;0;0;0;0
10;0;2;2;2;4
398;232;591;359;274;1148
970;563;953;852;546;1951
510;202;607;651;325;1367
2;3;2;2;0;7
0;0;5;0;0;4
72;22;37;62;37;96
265;110;301;251;154;581
3172;1248;3591;2156;1767;7064
103;38;127;114;55;258
4255;1847;4982;3011;2640;9732
7;6;7;9;5;12
30;13;26;14;9;51
459;244;568;347;283;1105
4186;1828;4841;2974;2064;8560
2239;964;2282;1949;1309;4247
2645;811;3453;2218;1713;7094
2547;1249;3117;2148;1410;5335
1154;552;1256;818;596;2431
1417;567;1575;875;842;3348
1420;767;1630;1183;756;2926
3039;2088;3474;2969;1789;7090
1048;599;1306;1329;857;3027
347;166;544;333;367;1448
14;7;11;18;4;26
155;113;179;141;87;369
705;399;766;699;432;1553
5;0;0;0;1;2
5300;2823;5877;4721;2882;11514
368;278;396;444;182;790
182;105;159;233;121;358
1994;1075;2267;1889;1109;4633
2;0;2;2;0;6
434;190;477;447;254;811
1902;1086;2273;2221;996;3990
3663;1349;3973;3332;2222;7863
85;49;93;54;48;178
867;567;972;686;429;1621
11;6;9;15;13;39
14;1;10;0;0;1
3950;1591;3711;6349;1601;5421
1190;833;1686;1128;813;3648
2041;1261;2534;1781;1187;5875
4011;1678;4359;3467;2438;8921
144258;92605;171622;150428;89135;338280
4179;2177;4663;5154;3397;11427
37690;16749;38098;36526;21139;79591
3190;1997;4176;3323;2209;9663
0;0;0;0;2;0
76;45;87;36;24;105
0;0;0;3;0;2
2;8;4;9;0;16
2494;1184;2973;1967;1389;6000
8;0;6;2;4;12
105;65;122;75;51;267
2390;1827;2664;1627;1093;4865
1549;838;1456;1368;777;2453
431;301;589;331;249;1353
309;250;348;329;175;742
74;135;183;50;76;428
4587;2344;6240;4288;2863;12470
0;0;0;0;0;0
532;318;580;361;275;949
4079;2125;5212;3831;2376;10462
120;111;164;70;71;278
605;306;784;871;392;1581
1237;681;1600;1213;744;3456
3;0;0;0;0;9
1;1;0;1;0;2
2758;1516;3322;2302;1561;6052
1127;703;1692;1097;693;2801
2347;1460;2623;1820;1233;5018
0;0;0;0;0;0
471;326;539;527;353;1062
41;11;38;44;25;66
554;239;631;626;462;1635
441;202;482;498;265;1245
5121;2396;5152;4991;2789;10896
433;158;553;441;232;910
2;2;2;11;2;0
659;313;761;665;449;1498
0;0;0;0;0;0
1490;498;1597;1153;707;2714
7671;3802;8754;6052;4184;17579
2146;1286;2784;2223;1241;5446
13;5;18;8;5;13
0;0;0;0;0;0
275;179;366;315;193;638
2222;1214;2817;1946;1280;4472
1641;658;1857;1184;844;3406
19939;8636;19319;16829;10310;37335
757;358;772;795;347;1516
943;435;984;863;461;1850
3585;2475;4859;2985;2131;9008
0;0;0;0;0;0
278;135;270;225;173;650
8137;4175;9705;7460;4970;19863
2;1;2;0;1;2
144;81;132;128;84;326
88;24;96;104;71;210
0;0;0;0;0;0
1321;784;1927;931;469;2583
33;16;20;19;21;44
0;0;0;1;0;0
904;433;1382;846;644;2685
714;394;919;643;443;1835
13;9;11;15;2;33
422;174;522;423;255;1000
0;0;0;2;0;2
25;4;23;13;7;25
962;544;1192;834;562;2530
638;356;889;531;304;1572
11;3;6;7;12;10
1993;1369;2160;1860;1100;4595
495;357;655;666;276;1339
0;0;0;0;0;0
50;28;73;76;30;107
2240;773;2963;1837;1341;6031
0;0;0;0;0;0
7;2;0;9;1;11
14;9;9;12;8;23
0;0;0;0;0;0
863;446;1035;1119;466;1726
26;21;30;31;24;54
27755;12706;31626;23413;16549;70283
0;0;0;0;0;0
0;0;0;0;0;1
34549;15759;42103;33735;22094;94634
66;44;80;59;47;278
4420;2565;5989;4250;2914;11892
1;2;6;2;0;1
347;279;469;219;187;901
1108;591;1234;993;534;1956
1;2;6;0;0;0
573;296;543;470;291;1137
26;12;37;39;19;52
0;0;2;0;0;3
0;4;3;4;3;10
0;0;2;0;0;0
252;126;354;202;180;668
34;8;15;25;8;67
3643;1844;3847;2945;1745;6216
8914;5528;9960;5671;2512;9264
136;69;157;107;85;242
1072;658;1180;864;577;2577
478;322;595;510;358;1277
7479;2933;8051;5575;4164;16866
4;2;4;3;2;7
1709;1690;1700;1270;941;3685
0;3;11;1;2;5
16176;9983;18840;12450;8911;37870
6;7;1;1;0;8
0;0;0;0;0;0
648;300;676;422;257;989
2093;985;1967;1816;1084;3821
0;0;0;0;0;0
0;0;0;0;0;0
2;0;4;1;2;0
1215;560;1290;950;683;2394
1054;684;1151;804;511;2021
0;2;2;0;0;0
1205;532;1340;1239;751;2725
98;59;142;152;76;254
1031;593;1114;936;559;2124
0;0;1;0;0;0
622;258;613;527;346;1275
3820;2103;4659;3487;2139;7573
1325;695;1333;1197;722;2989
21375;9470;23286;16772;10875;43054
982;422;918;821;464;1622
4212;2566;3628;809;323;1307
1279;561;1382;1200;682;2732
1167;533;1342;1147;670;2437
3206;2187;4523;2359;1385;7483
105;68;75;107;85;315
19446;8494;23541;16620;10482;48841
4169;2443;4738;3861;2414;8166
6941;4180;8466;6144;4070;15437
2;1;8;6;0;5
470;254;469;570;360;1330
0;0;0;0;0;0
10;22;16;17;31;65
0;0;0;0;0;0
687;378;858;846;351;1591
14;1;11;6;6;12
0;0;0;0;0;0
1023;504;1169;997;604;2410
462;237;503;412;315;1110
3380;1633;3606;2859;1907;7116
169;58;202;118;53;265
1775;981;1755;1554;680;2773
1044;514;1156;896;591;1976
0;0;0;0;0;0
8959;3016;9575;6444;4937;18472
3;0;6;0;0;0
6;5;8;5;7;7
2;0;0;2;0;0
3;2;1;7;4;5
4497;2439;5366;3413;2243;8521
43;19;41;49;39;103
1564;748;1938;1402;1032;3951
2091;784;2364;1828;1214;4374
4830;1938;4997;3065;2060;8859
2329;1187;2633;2229;1303;5064
782;345;769;692;317;1568
3017;1472;3317;2957;1547;6000
1426;791;1837;1168;778;3625
3788;1873;4260;3339;2079;8272
3248;1709;3530;2496;1696;6810
0;0;0;0;0;2
0;0;0;0;0;0
17;22;32;16;18;44
1702;695;1925;1436;939;3552
2947;1243;3365;2331;1475;6158
0;0;0;1;0;1
0;0;0;0;0;0
1115;671;1236;1122;717;2519
0;0;0;0;0;2
7;1;6;2;2;4
0;0;0;0;0;0
4829;2177;4950;3478;2760;11235
5;2;9;4;0;6
1497;681;1755;1338;791;3623
6;0;2;2;0;11
1866;880;2250;1324;969;4308
258;107;308;229;135;699
4;1;3;6;2;6
1521;834;1857;1386;855;3301
108;88;125;166;61;259
1642;318;1867;1179;911;3365
818;319;887;734;441;1493
1;1;5;3;1;0
508;186;449;468;310;1046
0;0;2;0;0;0
686;363;768;670;345;1346
0;0;0;0;0;0
436;239;468;459;271;1045
1154;513;1252;984;600;2976
591;287;651;486;196;1039
0;2;4;1;0;2
828;457;835;612;427;1500
72;57;85;68;45;167
11784;6737;13487;10733;7000;28234
2833;1391;3121;1903;1055;4121
2743;1376;2660;2141;1255;4783
7;1;4;87;6;13
2881;1361;3256;2073;1101;5094
0;0;0;0;0;0
364;236;795;365;360;1629
161;104;152;211;119;338
157;53;117;166;68;292
239;181;308;807;325;1131
822;380;870;757;473;1919
12;0;9;13;10;16
2737;1609;2631;1498;490;2017
1155;737;1150;871;642;2190
15;14;31;12;14;36
1420;804;1534;1589;951;3390
731;404;861;684;436;1732
578;297;653;450;271;959
1799;1038;2005;1639;1054;3534
1689;886;1600;1647;987;3446
37;10;26;21;21;20
10251;4224;10684;9558;5333;20246
106;61;107;110;74;232
2904;1561;3058;2700;1717;6694
1901;822;2145;1952;1215;4497
5408;2491;5449;4678;2094;8406
4889;1918;4724;3865;2594;9341
247;162;240;256;156;615
109;26;82;68;40;156
0;0;0;0;0;2
6039;2871;6511;4492;3045;11747
6922;3220;7946;5935;3939;17531
62;26;83;49;28;125
95;54;110;91;74;201
1004;540;1170;733;524;2346
1928;970;1976;1573;865;3412
1142;641;1001;1160;552;1958
169;93;198;119;77;313
49;9;35;28;24;36
0;0;0;2;0;2
942;418;1030;869;626;2425
961;563;1154;819;526;1997
351;146;366;349;160;626
1;0;1;2;7;8
2045;809;2059;1617;898;3750
919;516;1047;590;355;1486
1483;834;1803;1460;830;3582
1220;500;1323;1312;662;2465
52;24;105;55;30;177
356;142;399;414;177;660
1585;863;1848;1255;813;2998
322;197;387;248;174;808
1205;807;1378;783;350;1127
8;2;8;5;5;12
3022;1970;3094;3381;1661;6490
1429;676;1618;1005;790;3092
0;0;0;0;0;0
0;0;0;0;0;0
651;339;820;535;414;1617
1517;389;1720;1361;830;3719
423;128;341;288;187;764
0;0;0;0;0;0
10837;6125;11507;8131;5717;21693
21;17;33;18;12;30
2165;902;2594;1717;1233;4788
96;59;134;120;75;254
0;0;0;0;0;0
1137;812;1121;962;661;2281
220;47;289;160;153;520
2342;1159;2709;2887;1201;5733
119;52;123;132;70;341
97;55;128;75;74;266
1;0;0;0;0;0
4;0;4;2;2;4
4690;1845;5382;4707;2716;11229
406;243;365;432;211;844
10767;5874;13035;8533;5781;25922
993;387;1043;1487;692;2637
3645;1567;3798;3196;2062;6945
2;0;0;0;4;0
122;75;158;134;99;277
0;0;0;0;0;0
0;0;0;0;1;1
514;211;533;380;189;874
2596;1187;2739;1983;1371;5258
807;409;914;796;407;1714
2231;863;2513;1728;1127;5062
899;422;899;927;432;1788
1184;587;1281;1158;739;3265
2329;1246;2495;2448;1200;4519
2245;1023;2257;2252;1158;5160
1198;555;1367;1179;757;2549
12822;4627;14544;10834;6710;27155
733;421;830;863;470;1732
1635;847;1867;1632;741;2948
3829;1527;4392;3034;1940;8156
2592;1107;2798;2567;1199;4485
7579;3433;9068;6209;4269;17782
0;0;0;0;0;0
2576;1073;2904;2246;1412;6014
102;72;77;153;96;241
1956;1290;2805;1652;1315;5988
2379;1298;2357;2519;1157;4620
47;11;39;28;13;65
373;213;562;362;296;1281
1575;719;1862;1170;857;3390
8081;3813;9447;5659;4526;17621
61;21;63;71;58;200
1013;468;1098;1065;534;2203
4467;1867;4731;3718;2383;9340
300;130;260;239;152;566
831;349;735;697;430;1639
0;0;0;0;0;0
368;241;405;400;264;838
584;375;817;470;326;1411
45;34;48;29;17;51
476;235;453;445;283;824
2;0;0;0;0;3
4;2;7;3;2;14
657;521;736;526;346;1334
0;0;0;3;0;0
82;53;129;52;41;153
5856;3396;6841;4235;3043;12710
2447;1322;2691;2211;1917;8383
39;13;51;32;23;80
3030;1247;3503;2722;1424;5604
699;330;899;575;397;2044
319;158;309;205;173;670
2;4;0;2;1;17
3542;1642;3493;2867;1779;6063
20801;8381;23048;15724;10629;42997
582;207;700;419;232;1323
24233;6472;28008;20106;13023;52832
405;174;409;373;255;861
1969;920;2134;1541;1046;3843
0;0;0;0;0;0
1633;677;1695;1350;876;3395
1771;1103;1850;1666;991;3959
5144;1615;5386;3352;2706;11979
21;8;33;22;16;38
2135;1022;2164;1974;1305;4872
0;0;0;0;0;0
0;0;0;0;0;0
4475;2426;5641;3968;2585;11123
500;282;552;634;362;1086
9399;3933;10722;7797;5167;19383
602;322;580;448;410;1503
1;0;2;2;0;4
884;360;1109;780;466;1906
0;0;1;0;0;0
2276;763;2329;1870;1123;4052
780;472;986;627;390;1676
2002;1246;2186;1400;1032;3974
4;2;9;8;8;11
1136;510;1224;890;541;1997
56;51;72;43;33;167
618;250;651;473;322;1174
477;178;398;141;113;366
33;27;50;41;8;53
2575;1124;2824;2329;1549;5821
0;0;0;0;0;0
398;192;512;394;233;981
9;2;2;11;12;16
300;172;311;219;170;468
12216;4243;11572;4497;2407;8634
6;7;2;2;0;11
2;0;0;0;0;2
71;32;100;172;58;246
232;125;209;193;83;419
0;0;0;0;0;0
0;0;0;0;0;0
27;7;17;33;8;34
74;46;100;56;52;253
297;159;330;355;134;708
6315;3003;6799;5219;2984;11176
10;2;12;2;4;13
1904;756;1947;1457;832;3008
0;0;0;0;0;0
9;1;11;2;2;9
2168;759;2211;1852;1173;4391
1557;789;1643;1539;790;2755
0;0;0;3;0;2
4145;2355;4171;4100;2230;8687
0;0;0;0;0;0
2;0;0;0;0;2
618;306;629;630;321;1301
2147;1168;2532;1884;1242;5292
80;24;67;86;48;161
4;0;7;4;4;8
1161;467;1340;828;633;2887
139;35;90;42;21;95
2754;1227;2689;2166;1318;4903
154;43;169;179;110;317
6062;2460;5799;7098;2668;10419
709;369;751;785;335;1336
22251;9167;24308;17418;11301;44992
222;109;230;216;159;457
900;372;918;686;498;1848
0;0;0;1;0;0
107;40;112;107;93;211
0;3;4;3;5;18
1513;607;1662;1387;868;3295
721;368;882;742;389;1397
716;302;727;625;352;1534
3;4;7;4;0;18
1427;604;1716;1033;762;3472
170;78;134;198;79;313
932;435;893;972;470;1822
14;8;3;0;0;8
52;10;38;69;32;78
437;207;779;520;267;1219
0;0;0;0;0;0
161;120;202;228;114;457
583;265;640;603;379;1239
910;433;873;724;469;1596
0;0;0;0;0;2
3209;1572;3622;2373;1679;6195
325;137;320;273;118;577
1184;800;1377;787;585;2449
1446;697;1385;1561;706;2597
3872;2143;4734;3578;2465;9577
2034;1047;2439;1867;1093;4391
2149;1058;2337;1789;1173;4635
0;0;0;0;0;0
647;267;723;507;367;1131
991;498;1043;747;502;2064
0;0;4;4;0;8
585;345;591;652;302;1011
0;0;0;0;0;0
1526;728;1715;1530;779;3129
387;185;387;366;178;767
0;0;0;0;0;0
2396;1127;2914;2321;1203;4886
705;508;950;476;419;1717
3;0;4;1;0;5
75;51;65;67;27;136
460;244;605;399;208;787
514;263;612;944;397;1801
12;1;20;17;12;46
4;0;2;6;0;2
5520;3263;6031;4951;2662;10484
1317;579;1429;1152;811;2971
193;113;261;292;123;582
567;315;553;422;277;1083
14;17;35;38;25;49
18678;8279;22189;16422;11162;45861
1240;561;1206;1130;602;2328
319;132;336;282;199;699
749;332;835;568;429;1617
361;155;334;329;203;741
2118;1009;2148;1645;1054;4433
1863;705;2185;1810;1191;5178
2334;919;2399;2096;1144;4201
180;93;185;198;102;470
1;0;3;0;0;0
2;0;1;2;5;4
281;159;322;244;174;524
0;0;0;0;0;1
753;442;646;258;142;412
789;731;1604;423;379;1820
3431;1279;3967;2473;1880;7030
0;0;0;0;0;0
38;28;37;31;25;108
1106;533;1064;831;292;1259
2065;913;2415;1971;1163;4476
8;8;14;8;6;51
6;4;2;6;0;9
1153;445;1367;966;615;2270
14;7;2;3;6;17
11;9;7;15;6;14
2377;1327;2534;2249;1163;5369
0;0;0;0;2;0
120;70;146;150;70;260
2662;988;3299;2258;1504;6025
19;8;2;2;8;8
48;34;33;45;30;97
197;126;246;211;103;523
3367;1995;3654;2460;1691;6924
4;0;3;12;4;5
2769;1097;2984;3041;1758;6717
735;340;978;783;505;2068
2997;1294;3026;2285;1171;4858
3;0;0;0;1;2
4;0;2;7;1;7
3545;1639;3877;3168;1648;7853
325;192;404;306;220;922
390;250;453;328;214;668
6;0;4;3;6;8
366;143;376;346;290;982
0;0;0;0;0;0
24;6;31;14;11;22
1204;514;1084;982;538;1954
1521;711;1560;819;708;3040
1;0;0;0;2;2
0;0;0;0;0;0
7;8;11;7;3;8
46;19;46;25;22;63
4;0;0;4;0;13
8;0;2;7;2;3
0;0;2;0;1;0
304;159;311;251;155;563
1908;961;2184;1628;1012;4199
0;0;0;4;0;2
0;0;0;0;0;0
25;19;43;11;10;41
311;165;419;359;187;685
834;511;807;752;374;1428
62;60;78;75;54;163
764;443;737;659;370;1479
608;296;625;567;341;1195
56;66;91;47;54;208
13;8;18;9;17;39
1662;741;1554;1239;675;2614
1530;489;1665;1212;910;3306
45;30;36;18;30;56
0;0;0;0;0;4
1614;1021;2022;1136;951;3721
4;6;10;0;0;1
1164;496;1327;1094;600;2575
0;0;0;0;0;0
0;0;0;0;0;0
241;72;270;224;137;440
1653;672;1814;1562;834;3367
28;10;22;7;26;55
0;0;0;0;0;0
765;366;840;700;443;1646
950;419;901;1018;478;1695
1779;827;2055;1595;871;3743
584;269;655;368;606;1954
72;25;54;47;23;88
608;235;740;641;405;1569
1107;544;1306;944;581;2401
1;0;0;0;0;0
3177;1792;3529;2389;1842;7698
840;383;879;736;383;1432
3357;1458;3113;3113;1121;4280
